customer_id,snapshot_date,region,preferred_channel,tenure_months,orders_last_6m,avg_order_value,total_spend_12m,last_order_days_ago,last_order_date,support_tickets_6m,returns_6m,is_premium_member,discount_rate,sessions_30d,pages_per_session,email_open_rate,churned
C000032,2025-09-05,EU,web,21,1,72.39,583.16,24,2025-08-12,3,0,1,0.046,18,4.94,0.252,1
C000033,2025-09-05,EU,mobile,0,3,34.42,234.95,74,2025-06-23,0,0,1,0.212,17,1.91,0.23,1
C000034,2025-09-05,LATAM,store,5,0,75.99,672.9,58,2025-07-09,1,1,0,0.37,16,1.29,0.16,1
C000035,2025-09-05,APAC,email,6,2,40.68,127.3,8,2025-08-28,1,0,0,0.034,11,2.66,0.0,1
C000036,2025-09-05,NA,web,7,1,43.98,422.11,90,2025-06-07,0,1,0,0.378,0,4.74,0.153,1
C000037,2025-09-05,NA,email,28,5,116.51,820.06,20,2025-08-16,0,0,0,0.013,9,4.44,0.0,0
C000038,2025-09-05,LATAM,web,13,3,61.91,507.82,66,2025-07-01,0,1,0,0.552,11,4.01,0.226,1
C000039,2025-09-05,NA,mobile,19,3,105.49,287.49,67,2025-06-30,0,0,0,0.11,18,5.91,0.562,1
C000040,2025-09-05,LATAM,mobile,9,4,30.94,64.64,60,2025-07-07,1,1,0,0.311,8,7.19,0.487,1
C000041,2025-09-05,EU,store,24,3,85.86,569.69,120,2025-05-08,0,1,1,0.211,28,4.66,0.651,0
C000042,2025-09-05,NA,store,18,4,64.56,446.18,47,2025-07-20,0,0,0,0.463,1,6.31,0.5,0
C000043,2025-09-05,LATAM,store,3,0,96.0,1099.42,27,2025-08-09,1,0,0,0.144,14,1.0,0.222,1
C000044,2025-09-05,APAC,web,3,1,95.6,486.81,68,2025-06-29,1,0,0,0.446,8,3.68,0.314,0
C000045,2025-09-05,LATAM,web,0,1,45.91,370.3,47,2025-07-20,0,1,0,0.535,20,1.0,0.265,1
C000046,2025-09-05,NA,mobile,8,4,71.98,319.07,45,2025-07-22,1,1,1,0.166,4,2.38,0.215,0
C000047,2025-09-05,EU,mobile,9,5,39.97,78.52,28,2025-08-08,0,1,0,0.014,10,5.31,0.136,1
C000048,2025-09-05,EU,mobile,12,2,36.05,266.02,1,2025-09-04,1,0,1,0.012,16,5.43,0.182,0
C000049,2025-09-05,EU,email,10,2,47.14,240.53,97,2025-05-31,0,0,0,0.573,8,2.85,0.0,0
C000050,2025-09-05,NA,store,5,3,22.6,109.13,66,2025-07-01,1,0,0,0.104,12,5.0,0.13,1
C000051,2025-09-05,LATAM,web,27,3,72.1,386.31,30,2025-08-06,3,0,0,0.439,26,2.6,0.0,1
C000052,2025-09-05,LATAM,web,0,4,54.48,234.88,31,2025-08-05,1,0,0,0.44,16,4.56,0.0,1
C000053,2025-09-05,NA,mobile,7,0,53.91,535.9,57,2025-07-10,0,0,0,0.262,11,2.7,0.194,1
C000054,2025-09-05,APAC,email,14,3,87.63,692.3,23,2025-08-13,0,1,0,0.319,1,3.76,0.0,0
C000055,2025-09-05,LATAM,web,15,1,74.16,216.99,127,2025-05-01,0,1,0,0.491,12,5.11,0.375,1
C000056,2025-09-05,NA,email,8,3,56.1,476.59,100,2025-05-28,2,0,0,0.141,19,5.51,0.095,0
C000057,2025-09-05,EU,email,16,3,54.89,534.78,37,2025-07-30,0,2,0,0.55,18,2.72,0.081,0
C000058,2025-09-05,APAC,email,9,3,106.36,1189.69,13,2025-08-23,0,0,0,0.455,1,1.76,0.221,0
C000059,2025-09-05,EU,email,19,0,41.85,158.4,39,2025-07-28,0,1,0,0.373,10,4.05,0.229,0
C000060,2025-09-05,NA,web,21,0,104.96,1381.94,50,2025-07-17,0,0,0,0.38,15,3.65,0.232,0
C000061,2025-09-05,NA,store,13,3,37.99,252.14,52,2025-07-15,0,0,1,0.185,16,3.95,0.0,0
C000062,2025-09-05,EU,email,4,0,64.25,16.03,13,2025-08-23,0,0,0,0.001,4,3.9,0.263,1
C000063,2025-09-05,EU,mobile,12,2,80.73,653.97,33,2025-08-03,0,0,1,0.054,17,5.2,0.261,1
C000064,2025-09-05,EU,mobile,14,1,104.58,646.08,11,2025-08-25,0,1,0,0.418,18,3.29,0.165,0
C000065,2025-09-05,LATAM,mobile,5,2,61.42,699.89,54,2025-07-13,1,2,0,0.561,10,2.83,0.326,0
C000066,2025-09-05,EU,store,17,3,69.0,223.45,9,2025-08-27,1,0,1,0.034,29,3.08,0.438,0
C000067,2025-09-05,NA,email,0,1,62.16,473.89,46,2025-07-21,0,0,1,0.275,13,2.96,0.326,0
C000068,2025-09-05,EU,email,18,1,29.22,164.37,146,2025-04-12,2,1,0,0.253,4,3.89,0.319,0
C000069,2025-09-05,LATAM,mobile,15,3,103.45,959.24,33,2025-08-03,0,0,1,0.262,14,3.59,0.051,0
C000070,2025-09-05,LATAM,web,15,1,46.3,361.58,11,2025-08-25,3,0,0,0.585,25,1.94,0.514,1
C000071,2025-09-05,APAC,store,20,0,76.85,326.45,123,2025-05-05,0,0,0,0.346,20,2.98,0.338,1
C000072,2025-09-05,NA,store,11,2,39.78,37.41,52,2025-07-15,2,0,0,0.492,22,2.64,0.246,0
C000073,2025-09-05,EU,web,7,4,49.36,656.46,99,2025-05-29,1,1,0,0.178,12,5.01,0.227,0
C000074,2025-09-05,NA,store,0,0,28.66,306.19,36,2025-07-31,1,0,0,0.529,13,3.36,0.178,1
C000075,2025-09-05,EU,web,1,1,121.13,630.95,126,2025-05-02,0,0,1,0.239,21,2.09,0.427,0
C000076,2025-09-05,APAC,mobile,4,2,22.06,183.01,50,2025-07-17,2,1,1,0.223,9,4.05,0.245,1
C000077,2025-09-05,NA,web,0,3,96.54,1351.96,2,2025-09-03,1,1,0,0.272,21,2.84,0.317,0
C000078,2025-09-05,NA,mobile,15,5,122.36,1354.15,49,2025-07-18,1,1,0,0.488,19,2.12,0.44,0
C000079,2025-09-05,APAC,web,9,2,54.15,388.04,54,2025-07-13,0,0,0,0.297,16,1.0,0.3,0
C000080,2025-09-05,NA,email,15,3,95.96,836.36,208,2025-02-09,0,0,0,0.242,20,4.05,0.536,1
C000081,2025-09-05,NA,web,8,0,66.08,307.86,89,2025-06-08,0,0,0,0.163,16,4.34,0.282,0
C000082,2025-09-05,APAC,web,10,5,50.75,697.61,13,2025-08-23,0,0,0,0.568,12,5.72,0.611,0
C000083,2025-09-05,NA,mobile,1,1,68.92,885.42,48,2025-07-19,1,1,0,0.266,11,3.24,0.086,0
C000084,2025-09-05,APAC,web,1,2,11.49,94.11,25,2025-08-11,0,0,1,0.112,2,4.17,0.191,0
C000085,2025-09-05,EU,email,7,2,43.25,89.05,43,2025-07-24,0,1,0,0.198,21,2.32,0.256,1
C000086,2025-09-05,APAC,mobile,0,1,87.6,1019.59,59,2025-07-08,0,1,0,0.449,8,5.01,0.362,1
C000087,2025-09-05,LATAM,email,2,3,77.28,342.86,93,2025-06-04,0,0,0,0.458,18,4.3,0.363,1
C000088,2025-09-05,NA,email,28,2,82.48,827.85,39,2025-07-28,0,0,0,0.423,9,2.01,0.209,0
C000089,2025-09-05,LATAM,email,0,3,77.01,651.4,57,2025-07-10,0,0,1,0.137,2,6.22,0.237,0
C000090,2025-09-05,APAC,email,5,1,89.09,26.11,40,2025-07-27,0,0,0,0.423,10,5.21,0.538,0
C000091,2025-09-05,LATAM,web,18,5,30.07,440.57,31,2025-08-05,0,0,0,0.054,27,5.41,0.262,0
C000092,2025-09-05,EU,email,9,6,47.91,366.6,53,2025-07-14,0,0,0,0.36,23,2.11,0.448,0
C000093,2025-09-05,NA,email,12,0,99.59,0.0,74,2025-06-23,0,0,0,0.539,14,4.61,0.194,0
C000094,2025-09-05,EU,store,1,2,64.28,895.27,13,2025-08-23,0,0,1,0.077,31,2.3,0.464,1
C000095,2025-09-05,APAC,web,16,0,69.27,631.45,67,2025-06-30,1,0,0,0.095,8,3.77,0.112,0
C000096,2025-09-05,EU,store,4,2,42.52,217.27,58,2025-07-09,0,0,0,0.213,19,3.02,0.183,0
C000097,2025-09-05,APAC,mobile,5,2,42.48,389.15,103,2025-05-25,1,1,0,0.476,10,5.54,0.343,0
C000098,2025-09-05,LATAM,web,23,6,58.71,593.45,101,2025-05-27,0,1,0,0.361,1,5.57,0.354,0
C000099,2025-09-05,NA,mobile,20,3,74.08,921.26,59,2025-07-08,1,0,0,0.475,17,4.59,0.125,1
C000100,2025-09-05,EU,mobile,0,2,71.49,675.42,43,2025-07-24,2,0,0,0.037,10,4.35,0.246,0
C000101,2025-09-05,APAC,web,8,5,53.97,616.24,43,2025-07-24,1,1,1,0.046,19,1.41,0.371,0
C000102,2025-09-05,LATAM,mobile,0,2,64.65,676.07,67,2025-06-30,0,0,1,0.283,6,4.77,0.0,0
C000103,2025-09-05,LATAM,store,14,1,74.52,844.37,51,2025-07-16,0,0,1,0.259,7,6.66,0.401,0
C000104,2025-09-05,NA,email,0,0,60.51,437.8,46,2025-07-21,0,0,0,0.245,30,4.27,0.442,1
C000105,2025-09-05,EU,email,10,3,73.5,183.49,37,2025-07-30,1,1,0,0.157,10,4.22,0.317,0
C000106,2025-09-05,APAC,store,3,5,26.23,88.24,93,2025-06-04,0,0,0,0.156,6,1.75,0.232,0
C000107,2025-09-05,EU,store,0,1,85.79,604.67,57,2025-07-10,1,0,0,0.17,11,1.93,0.246,0
C000108,2025-09-05,APAC,email,17,1,59.61,431.82,95,2025-06-02,0,0,0,0.509,2,4.42,0.218,0
C000109,2025-09-05,EU,web,7,2,40.93,350.45,103,2025-05-25,1,0,0,0.276,7,3.63,0.803,0
C000110,2025-09-05,APAC,email,13,4,45.74,506.63,80,2025-06-17,0,1,1,0.134,5,3.86,0.238,0
C000111,2025-09-05,EU,email,13,2,92.01,356.02,52,2025-07-15,0,1,0,0.337,14,3.3,0.099,0
C000112,2025-09-05,EU,web,7,2,90.07,691.92,15,2025-08-21,0,1,0,0.496,6,5.55,0.191,1
C000113,2025-09-05,APAC,email,8,0,48.05,714.73,83,2025-06-14,0,1,1,0.209,18,4.35,0.037,0
C000114,2025-09-05,APAC,email,3,1,105.0,1802.18,59,2025-07-08,0,2,0,0.005,0,6.17,0.177,0
C000115,2025-09-05,APAC,web,17,2,55.89,544.64,14,2025-08-22,0,0,0,0.315,23,2.21,0.396,0
C000116,2025-09-05,NA,web,25,2,5.0,36.44,31,2025-08-05,0,0,0,0.496,3,5.56,0.296,0
C000117,2025-09-05,APAC,mobile,14,4,79.42,49.45,10,2025-08-26,1,0,0,0.255,15,3.81,0.0,1
C000118,2025-09-05,EU,store,14,6,106.67,969.81,9,2025-08-27,0,0,0,0.23,25,5.95,0.623,0
C000119,2025-09-05,LATAM,mobile,26,0,22.41,156.23,30,2025-08-06,0,1,0,0.337,27,4.25,0.341,0
C000120,2025-09-05,EU,web,5,0,39.66,321.28,53,2025-07-14,2,0,0,0.255,16,4.08,0.534,0
C000121,2025-09-05,EU,mobile,14,0,13.59,134.59,146,2025-04-12,2,0,0,0.223,7,4.28,0.288,1
C000122,2025-09-05,APAC,store,13,3,5.0,33.55,5,2025-08-31,1,0,0,0.362,10,1.31,0.423,0
C000123,2025-09-05,LATAM,email,3,7,32.07,177.79,80,2025-06-17,0,0,1,0.236,23,3.69,0.627,0
C000124,2025-09-05,APAC,email,27,3,49.28,317.67,62,2025-07-05,0,1,0,0.181,9,4.02,0.088,0
C000125,2025-09-05,LATAM,mobile,17,4,59.88,526.24,62,2025-07-05,1,0,0,0.327,10,4.85,0.058,0
C000126,2025-09-05,EU,web,0,3,71.53,528.52,20,2025-08-16,0,0,0,0.372,18,6.23,0.23,1
C000127,2025-09-05,APAC,email,4,5,80.28,515.61,4,2025-09-01,0,0,0,0.206,5,4.87,0.272,0
C000128,2025-09-05,LATAM,web,4,3,70.53,338.86,134,2025-04-24,0,0,0,0.59,6,2.48,0.243,1
C000129,2025-09-05,NA,web,27,5,41.44,280.0,102,2025-05-26,1,0,1,0.105,2,2.86,0.163,0
C000130,2025-09-05,APAC,mobile,12,0,55.06,816.27,126,2025-05-02,0,0,0,0.261,10,4.5,0.0,1
C000131,2025-09-05,NA,store,11,2,43.11,298.97,205,2025-02-12,1,0,1,0.278,8,4.0,0.026,0
C000132,2025-09-05,NA,mobile,15,3,25.29,170.69,60,2025-07-07,1,0,0,0.094,29,4.01,0.394,1
C000133,2025-09-05,NA,web,5,1,76.61,1014.5,11,2025-08-25,0,0,0,0.506,13,2.82,0.13,0
C000134,2025-09-05,NA,store,13,0,83.86,812.07,177,2025-03-12,0,0,0,0.546,18,4.34,0.287,0
C000135,2025-09-05,LATAM,email,19,2,97.73,548.76,8,2025-08-28,1,0,0,0.352,4,5.44,0.252,0
C000136,2025-09-05,NA,email,6,2,62.27,666.74,110,2025-05-18,0,0,1,0.223,22,5.69,0.388,0
C000137,2025-09-05,NA,web,20,0,37.27,378.9,56,2025-07-11,0,1,1,0.101,19,4.26,0.116,0
C000138,2025-09-05,EU,store,21,3,44.67,231.81,137,2025-04-21,0,1,0,0.228,11,3.49,0.462,1
C000139,2025-09-05,LATAM,web,23,2,82.36,559.6,7,2025-08-29,2,0,0,0.112,11,3.98,0.159,0
C000140,2025-09-05,APAC,store,16,1,45.25,455.11,57,2025-07-10,0,0,0,0.575,6,5.53,0.666,0
C000141,2025-09-05,APAC,mobile,22,0,80.32,85.78,5,2025-08-31,0,1,1,0.216,11,4.29,0.564,0
C000142,2025-09-05,LATAM,mobile,1,3,66.31,676.24,36,2025-07-31,0,0,0,0.098,13,4.38,0.249,1
C000143,2025-09-05,APAC,web,5,4,94.32,500.38,52,2025-07-15,2,2,0,0.315,9,3.52,0.317,1
C000144,2025-09-05,NA,email,4,4,50.01,594.07,76,2025-06-21,1,1,0,0.52,32,4.29,0.253,1
C000145,2025-09-05,EU,email,11,3,57.91,262.85,31,2025-08-05,0,0,0,0.585,18,5.19,0.032,1
C000146,2025-09-05,APAC,mobile,14,5,48.87,155.72,101,2025-05-27,0,0,0,0.353,24,3.72,0.0,0
C000147,2025-09-05,NA,mobile,0,0,33.19,343.31,62,2025-07-05,1,0,0,0.589,3,5.24,0.442,1
C000148,2025-09-05,EU,store,8,0,69.38,660.02,48,2025-07-19,0,2,1,0.015,21,5.1,0.424,0
C000149,2025-09-05,EU,email,0,2,83.65,654.12,8,2025-08-28,2,0,0,0.305,11,3.65,0.495,0
C000150,2025-09-05,LATAM,web,5,2,37.46,28.48,67,2025-06-30,2,0,0,0.082,18,6.48,0.431,0
C000151,2025-09-05,LATAM,email,18,1,93.98,488.79,82,2025-06-15,0,0,0,0.456,1,4.6,0.571,0
C000152,2025-09-05,LATAM,mobile,15,0,92.24,838.99,39,2025-07-28,0,0,0,0.171,19,2.05,0.101,1
C000153,2025-09-05,EU,web,17,1,68.58,630.99,97,2025-05-31,1,1,0,0.142,35,4.66,0.223,1
C000154,2025-09-05,APAC,mobile,6,3,31.82,60.85,10,2025-08-26,0,0,0,0.346,31,2.21,0.063,0
C000155,2025-09-05,LATAM,mobile,8,4,75.24,691.93,79,2025-06-18,0,0,1,0.17,2,1.74,0.0,0
C000156,2025-09-05,LATAM,email,26,2,61.03,827.48,112,2025-05-16,1,0,0,0.559,23,3.95,0.045,0
C000157,2025-09-05,LATAM,web,8,2,71.24,875.19,66,2025-07-01,1,0,0,0.173,8,3.83,0.61,1
C000158,2025-09-05,LATAM,email,16,2,77.1,572.03,30,2025-08-06,0,0,0,0.539,5,5.55,0.445,0
C000159,2025-09-05,EU,email,6,0,82.96,407.62,6,2025-08-30,0,0,0,0.435,1,5.16,0.441,1
C000160,2025-09-05,LATAM,mobile,28,3,95.02,75.57,7,2025-08-29,0,1,0,0.152,14,4.98,0.578,0
C000161,2025-09-05,EU,mobile,0,2,48.74,156.81,39,2025-07-28,0,0,1,0.227,6,7.44,0.002,1
C000162,2025-09-05,APAC,store,11,6,40.36,339.14,71,2025-06-26,1,0,1,0.184,27,6.47,0.662,0
C000163,2025-09-05,LATAM,store,17,1,23.98,52.28,117,2025-05-11,0,0,0,0.242,14,3.78,0.019,0
C000164,2025-09-05,NA,store,25,0,85.34,252.29,124,2025-05-04,0,0,0,0.427,0,3.78,0.129,1
C000165,2025-09-05,EU,web,5,1,35.59,65.09,47,2025-07-20,0,0,1,0.26,10,4.22,0.171,1
C000166,2025-09-05,EU,store,23,3,58.86,453.35,8,2025-08-28,1,0,0,0.555,6,3.67,0.0,0
C000167,2025-09-05,NA,store,11,3,67.39,964.95,16,2025-08-20,1,0,0,0.312,6,5.86,0.325,1
C000168,2025-09-05,LATAM,web,14,4,37.53,476.95,68,2025-06-29,1,0,1,0.203,16,3.48,0.148,1
C000169,2025-09-05,EU,mobile,10,4,42.03,268.42,32,2025-08-04,0,0,1,0.13,1,3.08,0.071,0
C000170,2025-09-05,EU,email,17,7,52.55,243.17,33,2025-08-03,0,0,0,0.068,4,7.65,0.209,1
C000171,2025-09-05,EU,store,23,4,106.12,561.82,126,2025-05-02,0,0,0,0.212,22,3.06,0.599,0
C000172,2025-09-05,EU,email,0,4,39.51,274.59,17,2025-08-19,2,1,0,0.327,10,5.01,0.271,1
C000173,2025-09-05,LATAM,store,4,4,41.65,291.24,44,2025-07-23,0,0,0,0.279,0,3.03,0.01,0
C000174,2025-09-05,EU,email,0,0,75.75,343.88,121,2025-05-07,1,1,0,0.061,12,1.78,0.038,1
C000175,2025-09-05,NA,mobile,6,0,68.14,865.32,108,2025-05-20,0,0,0,0.0,12,3.87,0.117,1
C000176,2025-09-05,APAC,web,14,3,26.63,241.11,2,2025-09-03,0,1,0,0.132,8,1.0,0.235,0
C000177,2025-09-05,APAC,store,0,1,95.66,708.01,61,2025-07-06,0,0,1,0.163,17,4.57,0.161,1
C000178,2025-09-05,LATAM,mobile,14,5,55.74,640.66,17,2025-08-19,0,0,0,0.064,14,2.99,0.17,0
C000179,2025-09-05,APAC,store,17,1,37.31,359.41,18,2025-08-18,0,0,0,0.01,14,3.49,0.333,0
C000180,2025-09-05,LATAM,email,12,3,66.04,26.35,108,2025-05-20,0,1,0,0.049,2,3.25,0.121,0
C000181,2025-09-05,EU,mobile,0,7,63.84,526.29,2,2025-09-03,0,0,0,0.539,1,4.15,0.192,0
C000182,2025-09-05,EU,store,4,4,85.3,137.43,26,2025-08-10,3,0,0,0.124,15,5.27,0.492,0
C000183,2025-09-05,LATAM,store,5,1,105.52,837.47,118,2025-05-10,0,1,0,0.243,7,3.2,0.444,0
C000184,2025-09-05,LATAM,mobile,0,4,57.33,312.44,45,2025-07-22,0,0,0,0.186,18,1.36,0.221,1
C000185,2025-09-05,NA,mobile,9,5,5.0,0.0,82,2025-06-15,1,0,0,0.049,28,3.14,0.334,1
C000186,2025-09-05,EU,email,11,4,96.58,248.9,88,2025-06-09,0,0,1,0.027,30,3.66,0.276,1
C000187,2025-09-05,APAC,store,5,1,24.77,41.18,132,2025-04-26,0,1,1,0.019,14,5.95,0.044,1
C000188,2025-09-05,EU,email,0,0,70.75,436.62,36,2025-07-31,0,0,1,0.114,20,3.24,0.211,1
C000189,2025-09-05,NA,mobile,14,2,34.17,442.86,87,2025-06-10,1,0,0,0.415,8,1.57,0.271,1
C000190,2025-09-05,EU,web,9,2,58.05,69.63,20,2025-08-16,0,0,0,0.461,12,5.51,0.267,0
C000191,2025-09-05,NA,email,23,3,42.17,383.79,44,2025-07-23,3,0,0,0.057,35,5.82,0.061,0
C000192,2025-09-05,LATAM,store,15,3,5.0,67.96,29,2025-08-07,0,0,0,0.287,23,5.66,0.468,0
C000193,2025-09-05,EU,mobile,14,3,73.71,795.98,52,2025-07-15,1,0,0,0.572,10,6.89,0.106,1
C000194,2025-09-05,NA,web,28,2,40.74,170.87,53,2025-07-14,1,2,1,0.084,12,2.95,0.46,1
C000195,2025-09-05,APAC,store,5,3,66.97,353.32,23,2025-08-13,0,0,0,0.408,6,5.3,0.353,0
C000196,2025-09-05,LATAM,store,8,3,36.87,318.87,45,2025-07-22,0,0,0,0.494,15,6.34,0.0,0
C000197,2025-09-05,LATAM,email,3,3,73.07,1057.36,121,2025-05-07,1,0,0,0.227,15,3.92,0.562,0
C000198,2025-09-05,NA,store,7,4,93.51,889.24,120,2025-05-08,1,1,0,0.029,14,4.98,0.206,0
C000199,2025-09-05,EU,store,8,2,59.89,765.42,77,2025-06-20,1,0,1,0.211,25,4.22,0.408,0
C000200,2025-09-05,APAC,mobile,20,3,115.58,927.28,3,2025-09-02,0,0,0,0.037,13,3.3,0.27,0
C000201,2025-09-05,NA,email,3,1,58.14,624.73,143,2025-04-15,1,0,0,0.407,3,4.36,0.374,0
C000202,2025-09-05,LATAM,web,5,2,49.67,368.61,95,2025-06-02,0,0,1,0.256,14,1.97,0.372,1
C000203,2025-09-05,EU,email,38,0,92.74,1014.11,132,2025-04-26,1,2,0,0.564,9,1.0,0.562,1
C000204,2025-09-05,LATAM,web,0,4,64.44,402.94,65,2025-07-02,0,0,1,0.141,4,2.62,0.004,1
C000205,2025-09-05,EU,store,18,5,48.14,476.05,62,2025-07-05,0,0,0,0.103,4,1.93,0.288,0
C000206,2025-09-05,NA,email,17,1,47.04,475.12,58,2025-07-09,2,0,0,0.475,21,3.24,0.249,0
C000207,2025-09-05,EU,mobile,0,2,134.72,449.17,14,2025-08-22,0,0,0,0.315,1,2.32,0.187,0
C000208,2025-09-05,LATAM,email,22,2,95.48,291.19,147,2025-04-11,0,0,0,0.092,9,5.55,0.276,0
C000209,2025-09-05,NA,store,2,3,89.74,657.92,62,2025-07-05,0,2,0,0.583,23,3.3,0.192,0
C000210,2025-09-05,NA,email,18,0,112.1,651.96,26,2025-08-10,0,0,1,0.254,5,2.9,0.349,0
C000211,2025-09-05,NA,mobile,22,6,50.82,580.53,127,2025-05-01,0,1,1,0.054,19,2.5,0.398,0
C000212,2025-09-05,EU,web,7,3,54.22,268.41,160,2025-03-29,0,0,0,0.233,14,4.01,0.084,0
C000213,2025-09-05,NA,email,5,3,75.57,219.93,36,2025-07-31,2,0,1,0.18,16,3.01,0.188,0
C000214,2025-09-05,LATAM,web,18,1,84.08,380.51,0,2025-09-05,0,0,1,0.228,18,3.29,0.0,0
C000215,2025-09-05,LATAM,email,13,5,46.84,630.84,141,2025-04-17,0,0,0,0.588,13,2.35,0.153,0
C000216,2025-09-05,EU,store,23,5,70.07,356.24,72,2025-06-25,1,0,1,0.279,41,2.16,0.501,0
C000217,2025-09-05,NA,mobile,18,0,71.99,265.94,127,2025-05-01,1,0,0,0.071,27,7.92,0.544,1
C000218,2025-09-05,LATAM,mobile,3,0,14.58,120.77,83,2025-06-14,0,0,1,0.014,11,2.2,0.139,0
C000219,2025-09-05,LATAM,web,26,1,70.83,395.54,9,2025-08-27,1,0,0,0.333,4,2.66,0.18,0
C000220,2025-09-05,APAC,mobile,23,4,73.74,1003.66,109,2025-05-19,3,1,0,0.318,16,4.21,0.111,0
C000221,2025-09-05,LATAM,email,13,4,53.73,511.92,31,2025-08-05,1,0,1,0.094,13,2.27,0.06,0
C000222,2025-09-05,LATAM,mobile,7,1,56.87,325.7,68,2025-06-29,0,0,1,0.191,8,3.01,0.148,0
C000223,2025-09-05,APAC,email,6,4,112.93,0.0,104,2025-05-24,3,0,0,0.578,31,4.73,0.308,0
C000224,2025-09-05,NA,mobile,4,2,73.58,468.25,68,2025-06-29,0,0,1,0.188,20,4.19,0.306,0
C000225,2025-09-05,APAC,web,0,4,19.26,193.62,50,2025-07-17,1,0,0,0.407,18,4.91,0.238,1
C000226,2025-09-05,NA,web,14,4,73.87,717.63,115,2025-05-13,0,1,0,0.078,16,4.51,0.272,0
C000227,2025-09-05,LATAM,web,6,0,62.47,452.71,75,2025-06-22,0,0,0,0.561,6,2.44,0.311,1
C000228,2025-09-05,APAC,store,15,0,36.08,110.67,140,2025-04-18,0,0,1,0.27,25,4.14,0.483,1
